Codigo_IES;Nombre_IES;Departamento;Sector;Total_Matriculados;Total_Graduados;Total_Inscritos;Total_Admitidos;Total_Primer_Curso;Total_Docentes;Total_Administrativos;Tasa_Graduacion;Tasa_Admision;Tasa_Absorcion;Ratio_Docentes_Matriculados
1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;RISARALDA;OFICIAL;390727;19106.0;134020.0;80224.0;55941;30011.0;8659.0;0.0489;0.5986;0.6973;0.0768
1112;UNIVERSIDAD DE CALDAS;Caldas;OFICIAL;307767;17250.0;157091.0;53777.0;44686;22709.0;8121.0;0.056;0.3423;0.831;0.0738
1113;UNIVERSIDAD DE CORDOBA;CORDOBA;OFICIAL;337358;16243.0;138292.0;48358.0;38776;18838.0;4355.0;0.0481;0.3497;0.8019;0.0558
1114;UNIVERSIDAD SURCOLOMBIANA;Huila;OFICIAL;289700;14184.0;94520.0;49317.0;40297;19086.0;4111.0;0.049;0.5218;0.8171;0.0659
1115;UNIVERSIDAD DE LA AMAZONIA;CaquetÃ¡;OFICIAL;192903;9244.0;56464.0;33386.0;24095;14526.0;7846.0;0.0479;0.5913;0.7217;0.0753
1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;BogotÃ¡ - D.C.;OFICIAL;393474;27415.0;142461.0;85834.0;69633;38065.0;13564.0;0.0697;0.6025;0.8113;0.0967
1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;ChocÃ³;OFICIAL;248954;10921.0;51335.0;40019.0;36443;22284.0;4363.0;0.0439;0.7796;0.9106;0.0895
1119;UNIVERSIDAD DE LOS LLANOS;META;OFICIAL;132852;6438.0;50525.0;23331.0;19633;14339.0;2335.0;0.0485;0.4618;0.8415;0.1079
1120;UNIVERSIDAD POPULAR DEL CESAR;Cesar;OFICIAL;309112;18048.0;104795.0;44988.0;38317;17507.0;2169.0;0.0584;0.4293;0.8517;0.0566
1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;BogotÃ¡ - D.C.;OFICIAL;127818;8036.0;59568.0;26072.0;21579;14100.0;2567.0;0.0629;0.4377;0.8277;0.1103
1122;UNIVERSIDAD DEL PACIFICO;VALLE DEL CAUCA;OFICIAL;59260;2676.0;13705.0;10782.0;10565;3892.0;1906.0;0.0452;0.7867;0.9799;0.0657
1123;UNIVERSIDAD POPULAR DEL CESAR;Cesar;OFICIAL;42227;1635.0;9843.0;8755.0;7173;2267.0;0.0;0.0387;0.8895;0.8193;0.0537
1125;UNIVERSIDAD NACIONAL DE COLOMBIA;AMAZONAS;OFICIAL;584;52.0;477.0;182.0;138;413.0;222.0;0.089;0.3816;0.7582;0.7072
1126;UNIVERSIDAD NACIONAL DE COLOMBIA;ARCHIPIÃLAGO DE SA;OFICIAL;59;42.0;177.0;107.0;76;273.0;138.0;0.7119;0.6045;0.7103;4.6271
1126;UNIVERSIDAD NACIONAL DE COLOMBIA;ArchipiÃ©lago de San AndrÃ©s - Providencia y Santa Catalina;OFICIAL;216;42.0;177.0;107.0;76;273.0;138.0;0.1944;0.6045;0.7103;1.2639
1126;UNIVERSIDAD NACIONAL DE COLOMBIA;SAN ANDRES Y PROVI;OFICIAL;60;42.0;177.0;107.0;76;273.0;138.0;0.7;0.6045;0.7103;4.55
1126;UNIVERSIDAD NACIONAL DE COLOMBIA;SAN ANDRES Y PROVIDENCIA;OFICIAL;184;42.0;177.0;107.0;76;273.0;138.0;0.2283;0.6045;0.7103;1.4837
1201;UNIVERSIDAD DE ANTIOQUIA;ANTIOQUIA;OFICIAL;758899;33911.0;883577.0;137105.0;104627;134023.0;35192.0;0.0447;0.1552;0.7631;0.1766
1202;UNIVERSIDAD DEL ATLANTICO;AtlÃ¡ntico;OFICIAL;453555;22987.0;449746.0;66182.0;63021;25074.0;2469.0;0.0507;0.1472;0.9522;0.0553
